Accession Individual Species Genus                                
FP073053.1 "Quercus robur 18" "Quercus robur " Quercus                                
FP073926.1 "Quercus robur 19" "Quercus robur " Quercus                                
FP053393.1 "Quercus robur 20" "Quercus robur " Quercus                                
FP071323.1 "Quercus robur 21" "Quercus robur " Quercus                                
AF132892.1 "Quercus rubra" "Quercus rubra" Quercus                                
JF980309.1 "Quercus serrata" "Quercus serrata" Quercus                                
AF174635.1 "Quercus sinuata" "Quercus sinuata" Quercus                                
AF174636.1 "Quercus stellata" "Quercus stellata" Quercus                                
AY283026.1 "Quercus suber 1" "Quercus suber " Quercus                                
FM243884.1 "Quercus suber 2" "Quercus suber " Quercus                                
FM243906.1 "Quercus suber 3" "Quercus suber " Quercus                                
FM243891.1 "Quercus suber 4" "Quercus suber " Quercus                                
FM243879.1 "Quercus suber 5" "Quercus suber " Quercus                                
FM243919.1 "Quercus trojana 1" "Quercus trojana " Quercus                                
FM243923.1 "Quercus trojana 2" "Quercus trojana " Quercus                                
FM243921.1 "Quercus trojana 3" "Quercus trojana " Quercus                                
FM243925.1 "Quercus trojana 4" "Quercus trojana " Quercus                                
FM243927.1 "Quercus trojana 5" "Quercus trojana " Quercus                                
KM200976.1 "Quercus vaseyana" "Quercus vaseyana" Quercus                                
EU646142.1 "Quercus velutina" "Quercus velutina" Quercus                                
FM244273.1 "Quercus vulcanica 1" "Quercus vulcanica " Quercus                                
FM244266.1 "Quercus vulcanica 2" "Quercus vulcanica " Quercus                                
FM244268.1 "Quercus vulcanica 3" "Quercus vulcanica " Quercus                                
FM244263.1 "Quercus vulcanica 4" "Quercus vulcanica " Quercus                                
FM244271.1 "Quercus vulcanica 5" "Quercus vulcanica " Quercus                                
M38503.1 "Saccharomyces cerevisiae 1" "Saccharomyces cerevisiae " Saccharomyces                                
AF331938.1 "Saccharomyces cerevisiae 2" "Saccharomyces cerevisiae " Saccharomyces                                
AY939814.1 "Saccharomyces cerevisiae 3" "Saccharomyces cerevisiae " Saccharomyces                                
DQ167468.1 "Saccharomyces cerevisiae 4" "Saccharomyces cerevisiae " Saccharomyces                                
DQ167472.1 "Saccharomyces cerevisiae 5" "Saccharomyces cerevisiae " Saccharomyces                                
JQ776495.1 "Tulipa agenensis" "Tulipa agenensis" Tulipa                                
HF952960.1 "Tulipa aitchisonii" "Tulipa aitchisonii" Tulipa                                
JQ776489.1 "Tulipa aleppensis" "Tulipa aleppensis" Tulipa                                sequence
JQ776500.1 "Tulipa armena" "Tulipa armena" Tulipa                                
HF952957.1 "Tulipa biflora" "Tulipa biflora" Tulipa                                
HQ443780.1 "Vesicularia vesicularis" "Vesicularia vesicularis" Vesicularia                                
KM373517.1 "Vesicularia spinosa" "Vesicularia spinosa" Vesicularia                                
