FM244151 "Quercus pontica"                                  
FM244150 "Quercus pontica"                                  
FM244149 "Quercus petraea"                                  
FM244148 "Quercus petraea"                                  
FM244147 "Quercus petraea"                                  
FM244146 "Quercus petraea"                                  
FM244145 "Quercus petraea"                                  
FM244144 "Quercus petraea"                                  
FM244143 "Quercus petraea"                                  
FM244142 "Quercus petraea"                                  
FM244141 "Quercus petraea"                                  
FM244140 "Quercus petraea"                                  
FM244139 "Quercus petraea"                                  
FM244138 "Quercus petraea"                                  
FM244137 "Quercus petraea"                                  
FM244136 "Quercus petraea"                                  
FM244134 "Quercus petraea"                                  
FM244133 "Quercus petraea"                                  
FM244132 "Quercus petraea"                                  
FM244131 "Quercus petraea"                                  
FM244130 "Quercus petraea"                                  
FM244129 "Quercus petraea"                                  
FM244127 "Quercus petraea"                                  
FM244125 "Quercus petraea"                                  
FM244124 "Quercus petraea"                                  
FM244123 "Quercus petraea"                                  
FM244122 "Quercus petraea"                                  
FM244121 "Quercus petraea"                                  
FM244120 "Quercus petraea"                                  
FM244119 "Quercus petraea"                                  
FM244118 "Quercus petraea"                                  
FM244117 "Quercus petraea"                                  
FM244116 "Quercus petraea"                                  
FM244115 "Quercus petraea"                                  
FM244114 "Quercus petraea"                                  
FM244113 "Quercus petraea"                                  
FM244112 "Quercus petraea"                                  
FM244111 "Quercus petraea"                                  
FM244110 "Quercus petraea"                                  
FM244109 "Quercus petraea"                                  
FM244108 "Quercus petraea"                                  
FM244106 "Quercus petraea"                                  
FM244105 "Quercus robur"                                  
FM244104 "Quercus robur"                                  
FM244103 "Quercus macranthera"                                  
FM244102 "Quercus macranthera"                                  
FM244101 "Quercus macranthera"                                  
FM244100 "Quercus macranthera"                                  
FM244099 "Quercus macranthera"                                  
FM244098 "Quercus macranthera"                                  
FM244097 "Quercus macranthera"                                  
FM244096 "Quercus macranthera"                                  
FM244094 "Quercus macranthera"                                  
FM244093 "Quercus macranthera"                                  
FM244092 "Quercus macranthera"                                  
FM244091 "Quercus macranthera"                                  
FM244090 "Quercus macranthera"                                  
FM244089 "Quercus macranthera"                                  
FM244088 "Quercus macranthera"                                  
FM244087 "Quercus macranthera"                                  
FM244086 "Quercus macranthera"                                  
FM244085 "Quercus macranthera"                                  
FM244084 "Quercus infectoria"                                  
FM244080 "Quercus infectoria"                                  
FM244078 "Quercus infectoria"                                  
FM244077 "Quercus infectoria"                                  
FM244075 "Quercus infectoria"                                  
FM244072 "Quercus infectoria"                                  
FM244071 "Quercus infectoria"                                  
FM244070 "Quercus infectoria"                                  
FM244069 "Quercus infectoria"                                  
FM244068 "Quercus infectoria"                                  
FM244066 "Quercus infectoria"                                  
FM244064 "Quercus infectoria"                                  
FM244062 "Quercus petraea"                                  
FM244061 "Quercus petraea"                                  
FM244059 "Quercus petraea"                                  
FM244058 "Quercus petraea"                                  
FM244057 "Quercus petraea"                                  
FM244056 "Quercus petraea"                                  
FM244054 "Quercus petraea"                                  
FM244053 "Quercus petraea"                                  
FM244052 "Quercus petraea"                                  
FM244051 "Quercus petraea"                                  
FM244050 "Quercus petraea"                                  
FM244049 "Quercus petraea"                                  
FM244048 "Quercus petraea"                                  
FM244047 "Quercus petraea"                                  
FM244046 "Quercus petraea"                                  
FM244045 "Quercus petraea"                                  
FM244044 "Quercus petraea"                                  
FM244043 "Quercus petraea"                                  
FM244042 "Quercus petraea"                                  
FM244041 "Quercus hartwissiana"                                  
FM244040 "Quercus hartwissiana"                                  
FM244039 "Quercus hartwissiana"                                  
FM244038 "Quercus hartwissiana"                                  
FM244037 "Quercus hartwissiana"                                  
FM244036 "Quercus hartwissiana"                                  
FM244035 "Quercus hartwissiana"                                  
FM244034 "Quercus hartwissiana"                                  
FM244032 "Quercus hartwissiana"                                  
FM244029 "Quercus hartwissiana"                                  
FM244027 "Quercus hartwissiana"                                  
FM244025 "Quercus hartwissiana"                                  
FM244024 "Quercus hartwissiana"                                  
FM244023 "Quercus hartwissiana"                                  
FM244022 "Quercus hartwissiana"                                  
FM244021 "Quercus hartwissiana"                                  
